Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
2020-09-28,"Drink, Ion4, Orange",Snacks,16,Fluid ounces,107,0,0,29.33,0,29.33,0,0,100
2020-09-28,Google Fit Workout,Exercise,32,minutes,428.795,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-28,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-29,"Cereal, Cheerios With Milk",Breakfast,1.5,Cups,300,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a
2020-09-29,"Chips, Tortilla, Restaurant Style, Original",Dinner,60,Grams,300,15,4.29,40.71,2.14,0,2.14,0,246.43
2020-09-29,4 Cheese Mexican Blend,Dinner,2.25,Servings,248,20.25,13.50,2.25,13.50,0,0,56.25,450
2020-09-29,"Salsa, Chunky, Mild",Dinner,1,Cup,32,0,0,6.40,0,6.4,1.60,0,800.10
2020-09-29,"Cookies, Chocolate Chip, Chewy",Snacks,5,Pieces,350,15,2.50,52.50,7.50,27.5,0,0,212.50
2020-09-29,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-30,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-09-30,"Chips, Tortilla, Restaurant Style, Original",Lunch,75,Grams,375,18.75,5.36,50.89,2.68,0,2.68,0,308.4
2020-09-30,Fanta Orange,Dinner,1,Bottle,270,0,0,75,0,73,0,0,95
2020-09-30,"Crust, Hand Tossed, Large",Dinner,0.5,Each,710,15.50,22.50,122,3.50,6,4,0,800
2020-09-30,"Chips, Tortilla, Restaurant Style, Original",Snacks,50,Grams,250,12.50,3.57,33.93,1.79,0,1.79,0,205.36
2020-09-30,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-01,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-01,"Crust, Hand Tossed, Large",Lunch,0.5,Each,710,15.50,22.50,122,3.50,6,4,0,800
2020-10-01,Baby Cut Carrots,Dinner,3,Ounces,35,0,1,8,0,5,2,0,65
2020-10-01,Nonfat Vanilla Yogurt,Dinner,1.5,Cups,240,0,14,44,n/a,40,0,10,210
2020-10-01,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-01,Google Fit Workout,Exercise,11,minutes,216.746,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-02,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-02,"Wrap, peanut butter and honey",Lunch,1,Serving,300,17,10,26,4,3,3,n/a,400
2020-10-02,"Nuts, Peanuts, Cocktail",Lunch,2,Ounces,340,28,14,10,4,2,4,0,230
2020-10-02,"Candy, Chocolate",Lunch,25,Pieces,90,3.75,0.75,12.75,2.25,11.25,0.38,1.88,11.25
2020-10-02,Mellow yellow zero,Dinner,30,Ounces,13,0,0,0,n/a,0,0,0,62.50
2020-10-02,"Pizza, Cheese, Slice",Dinner,2,Each,480,18,2,60,9,6,2,40,820
2020-10-02,Google Fit Workout,Exercise,12,minutes,153.969,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-02,Steps Bonus,Exercise,-1,minutes,304.843,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-03,"Soylent, Original, 2.0",Breakfast,1,Bottle,400,21,20,36,2,1,3,0,300
2020-10-03,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-03,Tortilla Medium,Lunch,1,Serving,130,3,3,20,1,0,1,0,246.67
2020-10-03,"Peanut Butter, Creamy",Lunch,2,Tablespoons,188,16.12,8.3,6.26,3.36,2.95,1.92,0,146.88
2020-10-03,Pure Clover Honey,Lunch,1,Tablespoon,60,0,0,17,n/a,16,n/a,n/a,0
2020-10-03,"Cereal, Cheerios",Dinner,1.75,Cups,175,3.50,5.25,35,0.88,1.75,5.25,0,245
2020-10-03,"Milk, 2%, w/ Vitamin A & D",Dinner,240,Milliliters,124,4.90,8.17,11.88,3.9,12.52,0,19.80,116.33
2020-10-03,"Chips, Tortilla, Nacho Cheese",Dinner,25,Pieces,318,18.18,4.55,36.36,2.27,0,2.27,0,477.27
2020-10-03,Google Fit Workout,Exercise,0,minutes,0.227529,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-03,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-04,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-04,"Cereal, Cheerios",Lunch,30,Grams,107,2.14,3.21,21.43,0.54,1.7,3.21,0,150
2020-10-04,"Milk, 2%, w/ Vitamin A & D",Lunch,130,Milliliters,67,2.65,4.42,6.44,1.68,6.78,0,10.73,63.1
2020-10-04,"Tortilla Chips, Nacho Cheese",Lunch,58,Grams,290,16.57,4.14,33.14,2.7,0,2.7,0,435
2020-10-04,"Tortilla Chips, Nacho Cheese",Snacks,80,Grams,400,22.86,5.71,45.71,2.86,0,2.86,0,600
2020-10-04,"Tortilla Chips, Nacho Cheese",Snacks,80,Grams,400,22.86,5.71,45.71,2.86,0,2.86,0,600
2020-10-04,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-05,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-05,White Enriched Sandwich Bread,Lunch,2,Slices,140,2,4,28,0,4,0,0,250
2020-10-05,Nonfat Vanilla Yogurt,Lunch,1.5,Cups,120,0,7,22,n/a,20,0,5,105
